question,answers
Ki ni iṣẹ ti Chief Bọde Thomas n ṣe ki o to kuro laye ?,Alakoso ile ijọsin afirika ti naijiria.
Ọdun wo s'ọdun wo ni Olúṣẹ́gun Ọ̀ṣọbà jẹ  Gómìnà Ìpínlẹ̀ Ògùn n'ilẹ Naijiria?,Oṣu kini ọdun 1992 titi di oṣu kọkanla ọdun 1993.
Kini ise Lara Fortes nigbati Adams Oshiọmọle fẹ?,Aláwòṣe.
Ọjọ wo ni wọn bi oṣere yoruba Fẹmi Adebayọ?,Ọjọ kinilelọgbọn oṣu kẹjila ọdun 1978.
Kini ounjẹ ti Ogun ma n jẹ?,Awn ajá.
Idile ọba  wo ni Sanusi Lamido ti wa ?,Muhammadu sanusi i.
kiloruko ọbaluaye ti o siwaju Licinius?,Galerius.
Talo kọ́kọ́ de ori osupa?,Neil alden armstrong.
kini iye awọn eniyan nilu India?,1.2 bilionu.
Ọdun wo ni a bi John Forbes Kerry?,Ọdun 1943.
ọdun wo ni orilẹ ede Tanzania kopa ninu bọọlu alafesegba lagbaye kẹyin ?,Ko pegede.
Ọdun wo ni wọn dakẹ lati maa gbe aworan ẹfẹ Samurai Jack jade?,Ọjọ karunlelogun oṣu kẹsan ọdun 2004.
Ta ni aare obirin akọkọ ni ilẹ West Afirika ?,Sirleaf jẹ obirin akọkọ ti wọn yan si ipo olori orilẹ-ede ni afirika.
ṣe ijoba United Kingdom fowosi ikọsile?,Yes.
Ewo ninu awọn obi Adunni Ade ni ki se ọmọ orilẹ-ede Naijiria?,Ìyá.
Igba wo ni Akinwumi Ambọde fẹyinti gẹgẹ bi osisẹ ijọba?,Ògún 2012.
ṣe ile iṣẹ MTN wa ni Tanzania ni 2022?,No.
ṣe ise Ajẹ̀ṣẹ́-gídígbò wa ni orile ede Japan?,Yes.
Ọmọ ipinlẹ wo ni Muyiwa Ademola n ṣe?,Ogun.
Orilẹ-ede wo ni Yahya Jammeh to sa lọ ẹhin odi?,Equatorial guinea.
papa ọkọ oofurufu melo lani ni Naijiria?,32.
Tani ẹgbẹ Alagba Asofin wa ni Israel?,No.
ṣe ọdun 1999 ni MKO Abiola ṣe alaisi?,No.
kini Pascal je ninu eko kọmputa?,Programming language.
Kini akori iwe ti Festus Adedayo ko nipa Ayinla ọmọwura?,Àyìnlá ọmọwúrà: life and times of an àpàlà legend.
